dtEventTime	UID	IP
2017-07-01 00:08:44	10001100016771	187.54.190.98
2017-07-01 01:27:00	10001100016772	97.73.80.79
2017-07-01 02:16:03	10001100016773	162.237.255.77
2017-07-01 03:50:23	10001100016774	80.83.238.56
2017-07-01 04:07:34	10001100016775	119.56.102.142
2017-07-01 04:08:20	10001100016776	46.92.120.225
2017-07-01 05:01:18	10001100016777	96.253.98.227
2017-07-01 08:29:40	10001100016778	85.246.14.87
2017-07-01 09:36:14	10001100016779	5.164.94.48
2017-07-01 10:17:32	10001100016780	122.112.116.215
2017-07-01 11:53:43	10001100016781	79.64.187.205
2017-07-01 12:40:44	10001100016782	92.37.142.211
2017-07-01 12:41:34	10001100016783	2.93.180.138
2017-07-01 12:54:21	10001100016784	95.153.134.192
2017-07-01 13:06:46	10001100016785	139.193.152.222
2017-07-01 14:14:01	10001100016786	217.15.154.13
2017-07-01 14:17:22	10001100016787	79.235.127.151
2017-07-01 16:59:43	10001100016788	151.36.76.149
2017-07-01 17:29:19	10001100016789	85.85.201.214
2017-07-01 17:30:10	10001100016790	94.128.96.103
2017-07-01 18:09:12	10001100016791	81.210.91.242
2017-07-01 20:04:21	10001100016792	92.200.5.1
2017-07-01 22:47:18	10001100016793	86.124.127.14
2017-07-01 23:11:16	10001100016794	31.76.79.197
2017-07-01 23:12:25	10001100016795	98.160.77.169
2017-07-02 01:06:18	10001100016796	107.11.19.228
2017-07-02 04:10:30	10001100016797	174.255.211.66
2017-07-02 04:10:45	10001100016798	185.79.102.57
2017-07-02 06:00:41	10001100016799	178.205.230.99
2017-07-02 10:07:05	10001100016800	90.16.204.154
2017-07-02 10:18:58	10001100016801	172.58.99.248
2017-07-02 10:29:33	10001100016802	115.231.149.193
2017-07-02 10:34:51	10001100016803	110.76.128.209
2017-07-02 10:37:19	10001100016804	110.76.128.209
2017-07-02 10:44:50	10001100016805	78.139.93.106
2017-07-02 10:47:18	10001100016806	42.110.180.62
2017-07-02 11:54:09	10001100016807	115.231.149.193
2017-07-02 13:18:27	10001100016808	109.161.127.125
2017-07-02 13:54:04	10001100016809	212.91.104.57
2017-07-02 14:07:42	10001100016810	59.149.21.238
2017-07-02 14:17:18	10001100016811	120.188.38.98
2017-07-02 14:49:20	10001100016812	82.226.7.161
2017-07-02 14:55:07	10001100016813	120.188.38.98
2017-07-02 15:01:52	10001100016814	90.207.112.104
2017-07-02 16:23:26	10001100016815	120.188.38.98
2017-07-02 16:24:35	10001100016816	120.188.38.98
2017-07-02 16:26:26	10001100016817	120.188.38.98
2017-07-02 16:51:01	10001100016818	87.132.107.87
2017-07-02 17:00:09	10001100016819	71.64.150.247
2017-07-02 17:28:06	10001100016820	69.68.66.16
2017-07-02 17:53:13	10001100016821	41.176.34.36
2017-07-02 18:38:51	10001100016822	142.197.58.94
2017-07-02 19:04:41	10001100016823	95.153.130.251
2017-07-02 19:10:42	10001100016824	79.66.169.204
2017-07-02 19:33:31	10001100016825	176.59.212.158
2017-07-02 20:40:31	10001100016826	79.114.249.215
2017-07-02 21:23:54	10001100016827	187.144.0.71
2017-07-02 21:46:37	10001100016828	103.192.62.239
2017-07-02 22:17:55	10001100016829	67.60.149.153
2017-07-02 23:18:14	10001100016830	66.87.65.78
2017-07-03 00:36:37	10001100016831	208.54.37.163
2017-07-03 00:44:07	10001100016832	185.76.70.36
2017-07-03 01:57:20	10001100016833	47.31.5.28
2017-07-03 04:03:02	10001100016834	42.153.47.218
2017-07-03 05:24:26	10001100016835	217.118.83.170
2017-07-03 06:08:44	10001100016836	46.138.216.194
2017-07-03 07:26:46	10001100016837	122.112.116.215
2017-07-03 07:40:06	10001100016838	120.188.38.98
2017-07-03 07:41:34	10001100016839	120.188.38.98
2017-07-03 08:18:58	10001100016840	87.117.13.40
2017-07-03 11:05:23	10001100016841	78.100.199.1
2017-07-03 11:06:05	10001100016842	139.192.185.90
2017-07-03 11:21:44	10001100016843	89.249.243.115
2017-07-03 11:37:52	10001100016844	87.101.112.132
2017-07-03 12:13:08	10001100016845	119.30.35.240
2017-07-03 12:29:43	10001100016846	201.223.145.207
2017-07-03 13:59:06	10001100016847	182.209.15.38
2017-07-03 14:57:30	10001100016848	47.31.14.170
2017-07-03 15:07:33	10001100016849	120.188.92.26
2017-07-03 15:12:33	10001100016850	72.188.199.29
2017-07-03 15:57:39	10001100016851	92.186.70.194
2017-07-03 17:42:01	10001100016852	24.36.18.168
2017-07-03 19:24:16	10001100016853	65.191.43.225
2017-07-03 20:30:23	10001100016854	24.113.103.162
2017-07-03 20:41:18	10001100016855	99.231.26.67
2017-07-03 21:30:08	10001100016856	95.150.69.201
2017-07-04 00:20:04	10001100016857	106.158.222.13
2017-07-04 02:50:03	10001100016858	73.241.68.31
2017-07-04 02:50:09	10001100016859	177.99.89.47
2017-07-04 03:20:20	10001100016860	186.244.51.193
2017-07-04 04:55:06	10001100016861	223.29.212.6
2017-07-04 05:08:31	10001100016862	108.78.152.180
2017-07-04 07:35:19	10002100000001	122.112.116.215
2017-07-04 07:37:01	10001100016863	122.112.116.215
2017-07-04 07:41:10	10001100016864	223.33.178.158
2017-07-04 07:48:30	10002100000002	123.108.244.181
2017-07-04 07:55:59	10002100000003	122.112.116.215
2017-07-04 08:49:28	10002100000004	49.147.24.234
2017-07-04 09:19:57	10002100000005	122.112.116.215
2017-07-04 09:21:55	10002100000006	172.58.23.218
2017-07-04 10:34:52	10002100000007	5.18.205.212
2017-07-04 10:39:14	10002100000008	115.164.178.97
2017-07-04 10:41:08	10002100000009	45.64.241.198
2017-07-04 10:55:04	10002100000010	88.13.50.82
2017-07-04 11:05:47	10002100000011	182.232.102.247
2017-07-04 11:07:30	10002100000012	73.251.8.162
2017-07-04 11:21:40	10002100000013	49.180.72.94
2017-07-04 11:28:54	10002100000014	70.198.136.182
2017-07-04 11:35:43	10002100000015	183.171.82.166
2017-07-04 11:38:08	10002100000016	184.156.144.162
2017-07-04 11:51:01	10002100000017	113.210.97.182
2017-07-04 12:03:20	10002100000018	115.164.87.163
2017-07-04 12:22:43	10002100000019	183.78.94.88
2017-07-04 12:46:27	10002100000020	105.104.57.136
2017-07-04 12:56:38	10002100000021	124.13.147.49
2017-07-04 13:05:37	10002100000022	123.136.112.69
2017-07-04 13:21:45	10002100000023	70.198.7.49
2017-07-04 13:41:01	10002100000024	113.210.193.96
2017-07-04 13:43:17	10002100000025	107.77.160.82
2017-07-04 13:48:52	10002100000026	172.58.143.59
2017-07-04 13:49:50	10002100000027	115.164.50.22
2017-07-04 13:50:12	10002100000028	74.14.49.35
2017-07-04 13:58:14	10002100000029	100.10.54.191
2017-07-04 13:58:38	10002100000030	66.87.121.250
2017-07-04 14:03:30	10002100000031	207.255.24.38
2017-07-04 14:10:48	10002100000032	72.24.47.220
